model_name,filename,mae,rmse,r2,spearman,kendall,accuracy_5,accuracy_10,accuracy_20,is_best_model
Random Forest (One-Hot),random_forest_one-hot.pkl,17.454886803741346,25.00776185265931,0.8045515876316611,0.8935086267046455,0.7383072201108635,0.22610937212299762,0.42828208433069415,0.6939790093905358,True
Random Forest (Positional),random_forest_positional.pkl,17.48462528905647,24.984355286244142,0.8049172849172002,0.8938095025812529,0.7380162593500534,0.22169029644632665,0.4275455717179157,0.6926901123181735,False
Gradient Boosting (One-Hot),gradient_boosting_one-hot.pkl,17.496261993419154,24.960719255427797,0.8052862197919993,0.8940541906436569,0.7374982404254335,0.22979193518689006,0.4308598784754189,0.6899281900202541,False
Gradient Boosting (Positional),gradient_boosting_positional.pkl,17.509459926324393,24.923790115892167,0.8058619478441457,0.8943498962483323,0.7376836939197068,0.22831890996133308,0.42680905910513717,0.6923218560117842,False
Random Forest (PCA),random_forest_pca.pkl,17.55694826142429,26.258193243182422,0.784517414733626,0.8825279962489412,0.7379174697389053,0.23052844779966858,0.4557171791566931,0.709077517952495,False
XGBoost (Positional),xgboost_positional.pkl,17.68349989956199,25.110006481563573,0.8029501438140869,0.8929256561993343,0.7383903969963821,0.22169029644632665,0.41428834468790277,0.68458847357761,False
LightGBM (One-Hot),lightgbm_one-hot.pkl,18.008849219642034,25.334226798225068,0.7994152990096131,0.8910378519308921,0.7308380942253007,0.21450929847173633,0.40379303995580923,0.6766709629902412,False
LightGBM (Positional),lightgbm_positional.pkl,18.09768477437438,25.39641241121,0.7984293765699615,0.890838407723473,0.7302888533443875,0.21303627324617935,0.40066286135150064,0.6696740931688455,False
Gradient Boosting (PCA),gradient_boosting_pca.pkl,35.00782660701207,44.501878308345624,0.38107335340132664,0.8575444978477766,0.6973734254998977,0.12391824709998159,0.23421101086356103,0.3868532498619039,False
Mord LogisticIT (One-Hot),mord_logisticit_one-hot.pkl,108.8598784754189,124.20320897720671,-3.821122097961898,0.13143870885746425,0.09736519010226467,0.01638740563432149,0.03203829865586448,0.06518136623089671,False
